tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2012-06-04,1.748213346834308e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-06-05,5.217576220486656e+18,277.75,277.75,277.75,277.75
2012-06-06,4.87685082058665e+23,2222.2,2222.2,2222.2,2222.2
2012-06-07,1.8959255084250566e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-06-08,2.2143562785608098e+58,9259259259.25,9259259259.25,9259259259.25,9259259259.25
2012-06-09,1.6887370244402088e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-06-10,7.913446553719732e+102,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18
2012-06-11,3.122805032439305e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-06-12,1.6153250832499941e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-06-13,2.4768605260872187e+58,9259259259.25,9259259259.25,9259259259.25,9259259259.25
2012-06-14,4.464477021546492e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-06-15,1.714940183295771e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-06-16,1.1481650696149864e+98,5.555555555555555e+17,5.555555555555555e+17,5.555555555555555e+17,5.555555555555555e+17
2012-06-17,8.159052611151872e+142,3.831417624521073e+26,3.831417624521073e+26,3.831417624521073e+26,3.831417624521073e+26
2012-06-18,1.6258387931418486e+83,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-06-19,1.83578913096471e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-06-20,1.7211352213815625e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-06-21,3.814041455317128e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-06-22,1.779016497102695e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-06-23,1.469075838997472e+83,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-06-24,1.4029506639234701e+78,69444444444444.44,69444444444444.44,69444444444444.44,69444444444444.44
2012-06-25,1.682613958843275e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-06-26,4.297385648916593e+28,18518.5,18518.5,18518.5,18518.5
2012-06-27,2.2215274193785107e+58,9259259259.25,9259259259.25,9259259259.25,9259259259.25
2012-06-28,2.685320517534161e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-06-29,2.6307829977326518e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-06-30,1.3645411943925823e+103,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18
2012-07-01,1.0393281433045149e+108,5.0505050505050505e+19,5.0505050505050505e+19,5.0505050505050505e+19,5.0505050505050505e+19
2012-07-02,2.966472291444048e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-07-03,2.0735735739038115e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-07-04,2.61803256359638e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-07-05,3.6601599192057915e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-07-06,2.322124307346743e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-07-07,9.120907763705179e+117,4.6296296296296297e+21,4.6296296296296297e+21,4.6296296296296297e+21,4.6296296296296297e+21
2012-07-08,1.2862735122630756e+93,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16,5.8479532163742696e+16
2012-07-09,1.693683958838895e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-07-10,3.066048032078955e+28,18518.5,18518.5,18518.5,18518.5
2012-07-11,3.0002865992076408e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-07-12,2.215026352359924e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-07-13,3.566748257614818e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-07-14,1.3673669393045893e+119,4.4444444444444445e+22,4.4444444444444445e+22,4.4444444444444445e+22,4.4444444444444445e+22
